osgb4000000074558187,http://data.ordnancesurvey.co.uk/id/4000000074558187,North Cowton,,,,populatedPlace,Village,427904,503748,10000,250000,427339,503540,428827,504425,DL7,http://data.ordnancesurvey.co.uk/id/postcodedistrict/DL7,,,,Richmondshire,http://data.ordnancesurvey.co.uk/id/7000000000021986,http://data.ordnancesurvey.co.uk/ontology/admingeo/District,North Yorkshire,http://data.ordnancesurvey.co.uk/id/7000000000022028,http://data.ordnancesurvey.co.uk/ontology/admingeo/County,Yorkshire and the Humber,http://data.ordnancesurvey.co.uk/id/7000000000041430,England,http://data.ordnancesurvey.co.uk/id/country/england,,http://dbpedia.org/resource/North_Cowton,http://sws.geonames.org/2641385
osgb4000000074558562,http://data.ordnancesurvey.co.uk/id/4000000074558562,Stapleton,,,,populatedPlace,Village,426356,512088,4000,250000,426033,511773,426533,512438,DL2,http://data.ordnancesurvey.co.uk/id/postcodedistrict/DL2,,,,Richmondshire,http://data.ordnancesurvey.co.uk/id/7000000000021986,http://data.ordnancesurvey.co.uk/ontology/admingeo/District,North Yorkshire,http://data.ordnancesurvey.co.uk/id/7000000000022028,http://data.ordnancesurvey.co.uk/ontology/admingeo/County,Yorkshire and the Humber,http://data.ordnancesurvey.co.uk/id/7000000000041430,England,http://data.ordnancesurvey.co.uk/id/country/england,,"http://dbpedia.org/resource/Stapleton,_Richmondshire",http://sws.geonames.org/7521853
osgb4000000074558195,http://data.ordnancesurvey.co.uk/id/4000000074558195,Whinfield,,,,populatedPlace,Suburban Area,430956,517074,9000,25000,430275,516589,431623,517510,DL1,http://data.ordnancesurvey.co.uk/id/postcodedistrict/DL1,,,,,,,Darlington,http://data.ordnancesurvey.co.uk/id/7000000000038404,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,North East,http://data.ordnancesurvey.co.uk/id/7000000000041422,England,http://data.ordnancesurvey.co.uk/id/country/england,,http://dbpedia.org/resource/Whinfield,
osgb4000000074554474,http://data.ordnancesurvey.co.uk/id/4000000074554474,Coatham Mundeville,,,,populatedPlace,Village,428957,519998,8000,250000,428455,519456,429420,520733,DL1,http://data.ordnancesurvey.co.uk/id/postcodedistrict/DL1,,,,,,,Darlington,http://data.ordnancesurvey.co.uk/id/7000000000038404,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,North East,http://data.ordnancesurvey.co.uk/id/7000000000041422,England,http://data.ordnancesurvey.co.uk/id/country/england,,http://dbpedia.org/resource/Coatham_Mundeville,http://sws.geonames.org/6692308
osgb4000000074558191,http://data.ordnancesurvey.co.uk/id/4000000074558191,Low Dinsdale,,,,populatedPlace,Hamlet,434672,511101,5000,25000,434412,510786,434912,511286,DL2,http://data.ordnancesurvey.co.uk/id/postcodedistrict/DL2,,,,,,,Darlington,http://data.ordnancesurvey.co.uk/id/7000000000038404,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,North East,http://data.ordnancesurvey.co.uk/id/7000000000041422,England,http://data.ordnancesurvey.co.uk/id/country/england,,,
osgb4000000074557811,http://data.ordnancesurvey.co.uk/id/4000000074557811,Great Smeaton,,,,populatedPlace,Village,434936,504426,4000,250000,434473,504142,435127,504642,DL6,http://data.ordnancesurvey.co.uk/id/postcodedistrict/DL6,,,,Hambleton,http://data.ordnancesurvey.co.uk/id/7000000000021482,http://data.ordnancesurvey.co.uk/ontology/admingeo/District,North Yorkshire,http://data.ordnancesurvey.co.uk/id/7000000000022028,http://data.ordnancesurvey.co.uk/ontology/admingeo/County,Yorkshire and the Humber,http://data.ordnancesurvey.co.uk/id/7000000000041430,England,http://data.ordnancesurvey.co.uk/id/country/england,,,http://sws.geonames.org/2648020
osgb4000000074555569,http://data.ordnancesurvey.co.uk/id/4000000074555569,Sadberge,,,,populatedPlace,Village,434214,516784,6000,250000,433890,516311,434669,517221,DL2,http://data.ordnancesurvey.co.uk/id/postcodedistrict/DL2,,,,,,,Darlington,http://data.ordnancesurvey.co.uk/id/7000000000038404,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,North East,http://data.ordnancesurvey.co.uk/id/7000000000041422,England,http://data.ordnancesurvey.co.uk/id/country/england,,http://dbpedia.org/resource/Sadberge,
osgb4000000074558571,http://data.ordnancesurvey.co.uk/id/4000000074558571,Branksome,,,,populatedPlace,Suburban Area,426508,516141,8000,25000,425687,515584,426898,516391,DL3,http://data.ordnancesurvey.co.uk/id/postcodedistrict/DL3,,,,,,,Darlington,http://data.ordnancesurvey.co.uk/id/7000000000038404,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,North East,http://data.ordnancesurvey.co.uk/id/7000000000041422,England,http://data.ordnancesurvey.co.uk/id/country/england,,"http://dbpedia.org/resource/Branksome,_County_Durham",
osgb4000000074308509,http://data.ordnancesurvey.co.uk/id/4000000074308509,Haughton le Skerne,,,,populatedPlace,Suburban Area,431233,516067,9000,25000,430321,515706,431698,516859,DL1,http://data.ordnancesurvey.co.uk/id/postcodedistrict/DL1,,,,,,,Darlington,http://data.ordnancesurvey.co.uk/id/7000000000038404,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,North East,http://data.ordnancesurvey.co.uk/id/7000000000041422,England,http://data.ordnancesurvey.co.uk/id/country/england,,http://dbpedia.org/resource/Haughton-le-Skerne,http://sws.geonames.org/2647323
osgb4000000074555568,http://data.ordnancesurvey.co.uk/id/4000000074555568,Red Hall,,,,populatedPlace,Suburban Area,431439,515284,7000,25000,430786,515257,431914,515777,DL1,http://data.ordnancesurvey.co.uk/id/postcodedistrict/DL1,,,,,,,Darlington,http://data.ordnancesurvey.co.uk/id/7000000000038404,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,North East,http://data.ordnancesurvey.co.uk/id/7000000000041422,England,http://data.ordnancesurvey.co.uk/id/country/england,,,
