osgb4000000074549957,http://data.ordnancesurvey.co.uk/id/4000000074549957,Shieldhill,,,,populatedPlace,Hamlet,303150,585309,5000,25000,302824,584944,303520,585444,DG11,http://data.ordnancesurvey.co.uk/id/postcodedistrict/DG11,,,,,,,Dumfries and Galloway,http://data.ordnancesurvey.co.uk/id/7000000000031903,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,
osgb4000000074549601,http://data.ordnancesurvey.co.uk/id/4000000074549601,Halleaths,,,,populatedPlace,Other Settlement,309575,581997,15000,25000,309483,581674,310114,582426,DG11,http://data.ordnancesurvey.co.uk/id/postcodedistrict/DG11,,,,,,,Dumfries and Galloway,http://data.ordnancesurvey.co.uk/id/7000000000031903,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,
osgb4000000074550337,http://data.ordnancesurvey.co.uk/id/4000000074550337,St Ann's,,,,populatedPlace,Hamlet,306888,593336,5000,25000,306660,593167,307160,593667,DG11,http://data.ordnancesurvey.co.uk/id/postcodedistrict/DG11,,,,,,,Dumfries and Galloway,http://data.ordnancesurvey.co.uk/id/7000000000031903,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,
osgb4000000074550338,http://data.ordnancesurvey.co.uk/id/4000000074550338,Nethermill,,,,populatedPlace,Hamlet,304496,587636,5000,25000,304302,587266,304802,587766,DG1,http://data.ordnancesurvey.co.uk/id/postcodedistrict/DG1,,,,,,,Dumfries and Galloway,http://data.ordnancesurvey.co.uk/id/7000000000031903,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,
osgb4000000074550336,http://data.ordnancesurvey.co.uk/id/4000000074550336,Johnstonebridge,,,,populatedPlace,Village,309997,592081,6000,250000,309640,591588,310140,592451,DG11,http://data.ordnancesurvey.co.uk/id/postcodedistrict/DG11,,,,,,,Dumfries and Galloway,http://data.ordnancesurvey.co.uk/id/7000000000031903,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,http://sws.geonames.org/2645950
osgb4000000074549225,http://data.ordnancesurvey.co.uk/id/4000000074549225,Greenhill,,,,populatedPlace,Hamlet,310097,580276,5000,25000,309964,579772,310464,580665,DG11,http://data.ordnancesurvey.co.uk/id/postcodedistrict/DG11,,,,,,,Dumfries and Galloway,http://data.ordnancesurvey.co.uk/id/7000000000031903,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,
osgb4000000074543281,http://data.ordnancesurvey.co.uk/id/4000000074543281,Newton,,,,populatedPlace,Hamlet,311139,594824,5000,25000,311047,594378,311547,595490,DG10,http://data.ordnancesurvey.co.uk/id/postcodedistrict/DG10,,,,,,,Dumfries and Galloway,http://data.ordnancesurvey.co.uk/id/7000000000031903,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,
osgb4000000074550333,http://data.ordnancesurvey.co.uk/id/4000000074550333,Sibbaldbie,,,,populatedPlace,Hamlet,314459,587495,5000,25000,314411,587402,315052,588008,DG11,http://data.ordnancesurvey.co.uk/id/postcodedistrict/DG11,,,,,,,Dumfries and Galloway,http://data.ordnancesurvey.co.uk/id/7000000000031903,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,http://dbpedia.org/resource/Sibbaldbie,
osgb4000000074549954,http://data.ordnancesurvey.co.uk/id/4000000074549954,Templand,,,,populatedPlace,Village,308337,586321,5000,250000,308144,585941,308644,586746,DG11,http://data.ordnancesurvey.co.uk/id/postcodedistrict/DG11,,,,,,,Dumfries and Galloway,http://data.ordnancesurvey.co.uk/id/7000000000031903,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,http://sws.geonames.org/2636126
osgb4000000074543831,http://data.ordnancesurvey.co.uk/id/4000000074543831,Watchhill,,,,populatedPlace,Suburban Area,306695,582864,5000,25000,306314,582531,307100,583230,DG11,http://data.ordnancesurvey.co.uk/id/postcodedistrict/DG11,,,,,,,Dumfries and Galloway,http://data.ordnancesurvey.co.uk/id/7000000000031903,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,
