osgb4000000074548206,http://data.ordnancesurvey.co.uk/id/4000000074548206,Slockavullin,,,,populatedPlace,Village,182386,697597,7000,250000,182245,697206,183214,698273,PA31,http://data.ordnancesurvey.co.uk/id/postcodedistrict/PA31,,,,,,,Argyll and Bute,http://data.ordnancesurvey.co.uk/id/7000000000030106,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,
osgb4000000074541278,http://data.ordnancesurvey.co.uk/id/4000000074541278,Bridgend,,,,populatedPlace,Village,185340,692919,3000,250000,185101,692638,185601,693138,PA31,http://data.ordnancesurvey.co.uk/id/postcodedistrict/PA31,,,,,,,Argyll and Bute,http://data.ordnancesurvey.co.uk/id/7000000000030106,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,
osgb4000000074553854,http://data.ordnancesurvey.co.uk/id/4000000074553854,Ardrishaig,,,,populatedPlace,Village,185120,685799,25000,250000,184740,683713,185621,687609,PA30,http://data.ordnancesurvey.co.uk/id/postcodedistrict/PA30,,,,,,,Argyll and Bute,http://data.ordnancesurvey.co.uk/id/7000000000030106,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,http://sws.geonames.org/2657126
osgb4000000074548201,http://data.ordnancesurvey.co.uk/id/4000000074548201,Minard,,,,populatedPlace,Village,197903,696463,6000,250000,197554,696043,198373,696943,PA32,http://data.ordnancesurvey.co.uk/id/postcodedistrict/PA32,,,,,,,Argyll and Bute,http://data.ordnancesurvey.co.uk/id/7000000000030106,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,http://sws.geonames.org/2642455
osgb4000000074553857,http://data.ordnancesurvey.co.uk/id/4000000074553857,Lochgair,eng,An Loch Geàrr,gla,populatedPlace,Village,192368,690389,7000,250000,191948,689976,193050,690939,PA31,http://data.ordnancesurvey.co.uk/id/postcodedistrict/PA31,,,,,,,Argyll and Bute,http://data.ordnancesurvey.co.uk/id/7000000000030106,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,http://sws.geonames.org/2643829
osgb4000000074548203,http://data.ordnancesurvey.co.uk/id/4000000074548203,Kilmichael Glassary,,,,populatedPlace,Village,185846,693379,3000,250000,185539,693140,186039,693640,PA31,http://data.ordnancesurvey.co.uk/id/postcodedistrict/PA31,,,,,,,Argyll and Bute,http://data.ordnancesurvey.co.uk/id/7000000000030106,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,http://sws.geonames.org/2645594
osgb4000000074553853,http://data.ordnancesurvey.co.uk/id/4000000074553853,Ceann Loch Gilb,gla,Lochgilphead,eng,populatedPlace,Town,186238,688071,18000,2000000,185383,686282,187517,689124,PA31,http://data.ordnancesurvey.co.uk/id/postcodedistrict/PA31,,,,,,,Argyll and Bute,http://data.ordnancesurvey.co.uk/id/7000000000030106,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,http://dbpedia.org/resource/Lochgilphead,http://sws.geonames.org/2643825
PA308ES,http://data.ordnancesurvey.co.uk/id/postcodeunit/PA308ES,PA30 8ES,,,,other,Postcode,184682,681190,3500,18000,,,,,,,Inbhir Nèill / Inverneill,http://data.ordnancesurvey.co.uk/id/4000000074553852,http://www.ordnancesurvey.co.uk/xml/codelists/localtype.xml#hamlet,,,,Argyll and Bute,http://data.ordnancesurvey.co.uk/id/7000000000030106,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,
PA318JN,http://data.ordnancesurvey.co.uk/id/postcodeunit/PA318JN,PA31 8JN,,,,other,Postcode,186364,687823,3500,18000,,,,,,,Ceann Loch Gilb / Lochgilphead,http://data.ordnancesurvey.co.uk/id/4000000074553853,http://www.ordnancesurvey.co.uk/xml/codelists/localtype.xml#town,,,,Argyll and Bute,http://data.ordnancesurvey.co.uk/id/7000000000030106,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,
PA308EW,http://data.ordnancesurvey.co.uk/id/postcodeunit/PA308EW,PA30 8EW,,,,other,Postcode,185083,685361,3500,18000,,,,,,,Ardrishaig,http://data.ordnancesurvey.co.uk/id/4000000074553854,http://www.ordnancesurvey.co.uk/xml/codelists/localtype.xml#village,,,,Argyll and Bute,http://data.ordnancesurvey.co.uk/id/7000000000030106,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,
PA308HF,http://data.ordnancesurvey.co.uk/id/postcodeunit/PA308HF,PA30 8HF,,,,other,Postcode,184907,686011,3500,18000,,,,,,,Ardrishaig,http://data.ordnancesurvey.co.uk/id/4000000074553854,http://www.ordnancesurvey.co.uk/xml/codelists/localtype.xml#village,,,,Argyll and Bute,http://data.ordnancesurvey.co.uk/id/7000000000030106,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,
PA318QX,http://data.ordnancesurvey.co.uk/id/postcodeunit/PA318QX,PA31 8QX,,,,other,Postcode,186562,687897,3500,18000,,,,,,,Ceann Loch Gilb / Lochgilphead,http://data.ordnancesurvey.co.uk/id/4000000074553853,http://www.ordnancesurvey.co.uk/xml/codelists/localtype.xml#town,,,,Argyll and Bute,http://data.ordnancesurvey.co.uk/id/7000000000030106,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,
PA318LL,http://data.ordnancesurvey.co.uk/id/postcodeunit/PA318LL,PA31 8LL,,,,other,Postcode,186075,687997,3500,18000,,,,,,,Ceann Loch Gilb / Lochgilphead,http://data.ordnancesurvey.co.uk/id/4000000074553853,http://www.ordnancesurvey.co.uk/xml/codelists/localtype.xml#town,,,,Argyll and Bute,http://data.ordnancesurvey.co.uk/id/7000000000030106,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,
PA318LS,http://data.ordnancesurvey.co.uk/id/postcodeunit/PA318LS,PA31 8LS,,,,other,Postcode,186072,688144,3500,18000,,,,,,,Ceann Loch Gilb / Lochgilphead,http://data.ordnancesurvey.co.uk/id/4000000074553853,http://www.ordnancesurvey.co.uk/xml/codelists/localtype.xml#town,,,,Argyll and Bute,http://data.ordnancesurvey.co.uk/id/7000000000030106,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,
