osgb4000000074573512,http://data.ordnancesurvey.co.uk/id/4000000074573512,Tunstall,,,,populatedPlace,Hamlet,641815,308053,5000,25000,641594,307784,642094,308284,NR13,http://data.ordnancesurvey.co.uk/id/postcodedistrict/NR13,,,,Broadland,http://data.ordnancesurvey.co.uk/id/7000000000006553,http://data.ordnancesurvey.co.uk/ontology/admingeo/District,Norfolk,http://data.ordnancesurvey.co.uk/id/7000000000007238,http://data.ordnancesurvey.co.uk/ontology/admingeo/County,Eastern,http://data.ordnancesurvey.co.uk/id/7000000000041425,England,http://data.ordnancesurvey.co.uk/id/country/england,,,
osgb4000000074581547,http://data.ordnancesurvey.co.uk/id/4000000074581547,Damgate,,,,populatedPlace,Suburban Area,645651,319144,3000,25000,645376,318846,645889,319346,NR29,http://data.ordnancesurvey.co.uk/id/postcodedistrict/NR29,,,,Great Yarmouth,http://data.ordnancesurvey.co.uk/id/7000000000006392,http://data.ordnancesurvey.co.uk/ontology/admingeo/District,Norfolk,http://data.ordnancesurvey.co.uk/id/7000000000007238,http://data.ordnancesurvey.co.uk/ontology/admingeo/County,Eastern,http://data.ordnancesurvey.co.uk/id/7000000000041425,England,http://data.ordnancesurvey.co.uk/id/country/england,,,
osgb4000000074545977,http://data.ordnancesurvey.co.uk/id/4000000074545977,Clippesby,,,,populatedPlace,Other Settlement,642277,314433,15000,25000,642065,314130,643107,314751,NR29,http://data.ordnancesurvey.co.uk/id/postcodedistrict/NR29,,,,Great Yarmouth,http://data.ordnancesurvey.co.uk/id/7000000000006392,http://data.ordnancesurvey.co.uk/ontology/admingeo/District,Norfolk,http://data.ordnancesurvey.co.uk/id/7000000000007238,http://data.ordnancesurvey.co.uk/ontology/admingeo/County,Eastern,http://data.ordnancesurvey.co.uk/id/7000000000041425,England,http://data.ordnancesurvey.co.uk/id/country/england,,http://dbpedia.org/resource/Clippesby,http://sws.geonames.org/2652824
osgb4000000074572948,http://data.ordnancesurvey.co.uk/id/4000000074572948,Thrigby,,,,populatedPlace,Hamlet,646027,312300,5000,25000,645740,312178,646306,312722,NR29,http://data.ordnancesurvey.co.uk/id/postcodedistrict/NR29,,,,Great Yarmouth,http://data.ordnancesurvey.co.uk/id/7000000000006392,http://data.ordnancesurvey.co.uk/ontology/admingeo/District,Norfolk,http://data.ordnancesurvey.co.uk/id/7000000000007238,http://data.ordnancesurvey.co.uk/ontology/admingeo/County,Eastern,http://data.ordnancesurvey.co.uk/id/7000000000041425,England,http://data.ordnancesurvey.co.uk/id/country/england,,,
osgb4000000074571219,http://data.ordnancesurvey.co.uk/id/4000000074571219,Stokesby,,,,populatedPlace,Village,643179,310613,6000,250000,642680,310314,643663,311000,NR29,http://data.ordnancesurvey.co.uk/id/postcodedistrict/NR29,,,,Great Yarmouth,http://data.ordnancesurvey.co.uk/id/7000000000006392,http://data.ordnancesurvey.co.uk/ontology/admingeo/District,Norfolk,http://data.ordnancesurvey.co.uk/id/7000000000007238,http://data.ordnancesurvey.co.uk/ontology/admingeo/County,Eastern,http://data.ordnancesurvey.co.uk/id/7000000000041425,England,http://data.ordnancesurvey.co.uk/id/country/england,,,http://sws.geonames.org/2636831
osgb4000000074573506,http://data.ordnancesurvey.co.uk/id/4000000074573506,Scratby,,,,populatedPlace,Village,650528,315311,10000,250000,650023,315172,651567,316413,NR29,http://data.ordnancesurvey.co.uk/id/postcodedistrict/NR29,,,,Great Yarmouth,http://data.ordnancesurvey.co.uk/id/7000000000006392,http://data.ordnancesurvey.co.uk/ontology/admingeo/District,Norfolk,http://data.ordnancesurvey.co.uk/id/7000000000007238,http://data.ordnancesurvey.co.uk/ontology/admingeo/County,Eastern,http://data.ordnancesurvey.co.uk/id/7000000000041425,England,http://data.ordnancesurvey.co.uk/id/country/england,,,
osgb4000000074571234,http://data.ordnancesurvey.co.uk/id/4000000074571234,Bastwick,,,,populatedPlace,Village,642323,317840,6000,250000,642217,317290,642822,318165,NR29,http://data.ordnancesurvey.co.uk/id/postcodedistrict/NR29,,,,Great Yarmouth,http://data.ordnancesurvey.co.uk/id/7000000000006392,http://data.ordnancesurvey.co.uk/ontology/admingeo/District,Norfolk,http://data.ordnancesurvey.co.uk/id/7000000000007238,http://data.ordnancesurvey.co.uk/ontology/admingeo/County,Eastern,http://data.ordnancesurvey.co.uk/id/7000000000041425,England,http://data.ordnancesurvey.co.uk/id/country/england,,,
osgb4000000074573244,http://data.ordnancesurvey.co.uk/id/4000000074573244,Burgh St Margaret,eng,Fleggburgh,eng,populatedPlace,Village,644443,313936,10000,250000,644253,313287,645595,314755,NR29,http://data.ordnancesurvey.co.uk/id/postcodedistrict/NR29,,,,Great Yarmouth,http://data.ordnancesurvey.co.uk/id/7000000000006392,http://data.ordnancesurvey.co.uk/ontology/admingeo/District,Norfolk,http://data.ordnancesurvey.co.uk/id/7000000000007238,http://data.ordnancesurvey.co.uk/ontology/admingeo/County,Eastern,http://data.ordnancesurvey.co.uk/id/7000000000041425,England,http://data.ordnancesurvey.co.uk/id/country/england,,,
osgb4000000074571217,http://data.ordnancesurvey.co.uk/id/4000000074571217,Burgh Castle,,,,populatedPlace,Village,647999,305104,13000,250000,647376,303429,649262,305420,NR31,http://data.ordnancesurvey.co.uk/id/postcodedistrict/NR31,,,,Great Yarmouth,http://data.ordnancesurvey.co.uk/id/7000000000006392,http://data.ordnancesurvey.co.uk/ontology/admingeo/District,Norfolk,http://data.ordnancesurvey.co.uk/id/7000000000007238,http://data.ordnancesurvey.co.uk/ontology/admingeo/County,Eastern,http://data.ordnancesurvey.co.uk/id/7000000000041425,England,http://data.ordnancesurvey.co.uk/id/country/england,,http://dbpedia.org/resource/Burgh_Castle,
osgb4000000074572949,http://data.ordnancesurvey.co.uk/id/4000000074572949,Halvergate,,,,populatedPlace,Village,641638,306524,11000,250000,641519,305643,642521,307329,NR13,http://data.ordnancesurvey.co.uk/id/postcodedistrict/NR13,,,,Broadland,http://data.ordnancesurvey.co.uk/id/7000000000006553,http://data.ordnancesurvey.co.uk/ontology/admingeo/District,Norfolk,http://data.ordnancesurvey.co.uk/id/7000000000007238,http://data.ordnancesurvey.co.uk/ontology/admingeo/County,Eastern,http://data.ordnancesurvey.co.uk/id/7000000000041425,England,http://data.ordnancesurvey.co.uk/id/country/england,,http://dbpedia.org/resource/Halvergate,http://sws.geonames.org/2647592
osgb4000000074571232,http://data.ordnancesurvey.co.uk/id/4000000074571232,Billockby,,,,populatedPlace,Hamlet,642615,313277,5000,25000,642411,312880,643223,313380,NR29,http://data.ordnancesurvey.co.uk/id/postcodedistrict/NR29,,,,Great Yarmouth,http://data.ordnancesurvey.co.uk/id/7000000000006392,http://data.ordnancesurvey.co.uk/ontology/admingeo/District,Norfolk,http://data.ordnancesurvey.co.uk/id/7000000000007238,http://data.ordnancesurvey.co.uk/ontology/admingeo/County,Eastern,http://data.ordnancesurvey.co.uk/id/7000000000041425,England,http://data.ordnancesurvey.co.uk/id/country/england,,,
osgb4000000074571233,http://data.ordnancesurvey.co.uk/id/4000000074571233,Repps,,,,populatedPlace,Hamlet,642050,316951,5000,25000,641230,316780,642269,317427,NR29,http://data.ordnancesurvey.co.uk/id/postcodedistrict/NR29,,,,Great Yarmouth,http://data.ordnancesurvey.co.uk/id/7000000000006392,http://data.ordnancesurvey.co.uk/ontology/admingeo/District,Norfolk,http://data.ordnancesurvey.co.uk/id/7000000000007238,http://data.ordnancesurvey.co.uk/ontology/admingeo/County,Eastern,http://data.ordnancesurvey.co.uk/id/7000000000041425,England,http://data.ordnancesurvey.co.uk/id/country/england,,,
